8.03.2015,UK,"Londyn, Notting Hill",3.5,10.5,mieso mialo inny smak i kolor - dosyc suche i  mocno wysmazone,"optycznie wyglądał cheesbu na małego, lecz pomiary zadziwiają.",7,AN
19.07.2015,FR,"Nicea, Promenade des Anglais",3.3,9.9,prawidłowy,"minus 1 pkt ze wzgledu na rozmiar, lecz smak bez zarzutu",9,AN
31.07.2015,PL,"Warszawa, Złote Tarasy",3.4,10.2,średni,"niepocieszona. cheesbu był zimny, mało ketchupu, bułka sucha z widocznymi ""bąbelkami""",6,AN
06.08.2015,UK,"Cambridge, Market Sq",4,10,prawidłowy,"b dobry, wyjatkowo puszysty, niestety malo tresciwy - starczyl na 3 gryzy, po ktorcyh zapomnialam, ze w ogole jadlam cheesbu",8,SW
12.08.2015,PL,Katowice,3,10.5,średni,"bułka nie do koca pocieszająca, dodatkowo mialam klopot, bo najpierw dostalam czikera... musialam sie wracać i prosić o wymiane. cziker wylądował w koszu, bylo mi smutno. moglam go zjesc... nie rozkoszowałam sie czisbu, bo jadłam w wielkim stresie spowodowanym niedziałającym blackberry",6,AN
04.09.2015,FR,"Paryż, 84, avenue des Champs Elysées",3.7,9.7,prawidłowy,"wyjatkowo dobry cheesbu, swiezy, duuuzo ketchupu, umilil mi zly dzien i pomogl podjac wazne, a jak sie okazalo prawidlowe decyzje <3",9,SW
10.09.2015,PL,"Warszawa, Złote Tarasy",3.4,10.1,średni,"Po raz kolejny restauracja Mc Donald's w Złotych Tarasach rozczarowywuje. Wziełam Happy Meal i nie był to wesoły posiłek... Cheesbu  był zimny. Po co robić te nowe opcje zamawiania i odbioru, skoro nie dostaje od razu świeżutkiego Cheesa? byl zimny i jakis suchawy, ser był nierozpuszczony, wyglądał jak ten sztuczny ser Hochland z plastiku. Frytki też pozostawialy wiele do życzenia, ale to nie o nich mowa. Chciałam pocieszyć sie po dziwnej rozmowie kwalifikacyjnej w SKS ale nie zostałam należycie podniesiona na duchu. ",5,AN
26.09.2015,UK,"Londyn, City Road",4.6,9.5,prawidlowy,"Trudno mi opisac dokladnie smak tego cheesbu poeniwaz niewiele pamietam poza faktem, ze go jadlam. Przyjecie duzej dawki antybiotyku w polaczeniu z konsumpcja vujitsu zaburzylo moja zdolnosc percepcji. Z niewielu przeblyskow pamieci wnioskuje, ze cheesbu byl dobry, zjedzony w doborowym towarzystwie po nocy pelnej wrazen. Na szczescie bylam na tyle przytomna by pobrac pomiary.",7,SW
28.09.2015,PL,"Warszawa, Nowy Świat / Świętokrzyska",3.8,10.1,prawidłowy lecz zniekształcony nadmiarem ketchupu,"świeży i smaczny, miał dużo ketchupu, lecz aż tak dużo, że stracił lekko swój charakterystyczny smak. były wysyłane snapy z ilością ketchupu - wylewał sie brzegami!",7,AN
05.10.2015,PL,"Warszawa, Podziemia Centralnego",4.2,9.9,prawidłowy ,"Wysoki i dobrze zbudowany cheesburger, bułka ""bąbelkowa"" co świadczy o tym, że nie była najświeższa, lecz nie poznałabym po smaku, nie była jeszcze sucha. Restauracja jak zwykle na najwyżsyzm poziome. Frytki z kuponów (2 w cenie 1) świeże i gorące, dodatkowy darmowy ketchup nie był problemem. Jak wstawałam z tacą, Pan który tam zawsze porzadkuje wziął ją ode mnie z uśmiechem z rąk, choć nalegałam, że sama wyrzucę. Cudowne miejsce, cudowny dzień.",7,AN
25.10.2015,PL,"Warszawa, Sadyba Best Mall",4.4,10,ponizej oczekiwan,"Wielkie rozczarowanie! Cheeseburger, ktory mial byc ukoronowaniem dlugiego dnia jedzenia pysznosci, okazal sie stary i wyszuszony! ",4,SW
